phase	kind	file	line	target	change	text
p002	c-include	src/drivers/usb/usb-uas-disk.c	16	include/drivers/usb-storage-scsi.h	drivers/usb-storage-scsi.h -> drivers/usb/usb-storage-scsi.h	#include <drivers/usb-storage-scsi.h>
p002	c-include	src/drivers/usb/usb-uas-transport.c	14	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/usb/usb-uas-transport.c	15	include/drivers/usb-uas.h	drivers/usb-uas.h -> drivers/usb/usb-uas.h	#include <drivers/usb-uas.h>
p002	c-include	src/drivers/usb/usb-uas.c	14	include/drivers/usb-uas.h	drivers/usb-uas.h -> drivers/usb/usb-uas.h	#include <drivers/usb-uas.h>
p002	c-include	src/drivers/usb/usb.c	18	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	src/drivers/wifi/intel-ax211/intel-ax211-dma.h	56	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/wifi/intel-ax211/intel-ax211-tx-ring.h	58	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/wifi/intel-ax211/intel-ax211.c	1209	include/drivers/pci-intel-ax211.h	drivers/pci-intel-ax211.h -> drivers/wifi/intel-ax211/pci-intel-ax211.h	#include <drivers/pci-intel-ax211.h>
p002	c-include	src/drivers/wifi/intel-ax211/intel-ax211.c	1210	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/kern/main.c	18	include/drivers/i915.h	drivers/i915.h -> drivers/pci/pci-i915.h	#include <drivers/i915.h>
p002	c-include	src/kern/platform/pc98.c	20	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/kern/platform/pc98.c	22	include/drivers/hid/pc98-busmouse.h	drivers/hid/pc98-busmouse.h -> drivers/platform/pc98/pc98-busmouse.h	#include "drivers/hid/pc98-busmouse.h"
p002	c-include	src/kern/platform/pc98.c	25	include/drivers/pc98-lgy98.h	drivers/pc98-lgy98.h -> drivers/platform/pc98/pc98-lgy98.h	#include "drivers/pc98-lgy98.h"
p002	c-include	src/kern/platform/pc98.c	28	include/drivers/graphics/pc98.h	drivers/graphics/pc98.h -> drivers/platform/pc98/graphics/pc98.h	#include "drivers/graphics/pc98.h"
p002	c-include	src/kern/platform/pcat.c	21	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/kern/platform/pcat.c	22	include/drivers/pcat-ide.h	drivers/pcat-ide.h -> drivers/platform/pcat/pcat-ide.h	#include "drivers/pcat-ide.h"
